gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Gria4,GSM2545336,19381,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ttyh1,GSM2545336,35445,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc13a1,GSM2545336,75,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Phf7,GSM2545336,364,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Get4,GSM2545336,1766,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gstm1,GSM2545336,12043,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fbxo31,GSM2545336,3869,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Padi2,GSM2545336,890,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gnmt,GSM2545336,327,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Paip2b,GSM2545336,5199,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc17a9,GSM2545336,66,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Vopp1,GSM2545336,1574,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ogdhl,GSM2545336,5470,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dcaf12,GSM2545336,2537,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rorc,GSM2545336,1565,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cp,GSM2545336,2265,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Jade2,GSM2545336,3370,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nbl1,GSM2545336,5297,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
