gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Slc26a7,GSM2545380,372,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rspo1,GSM2545380,24,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Hcfc2,GSM2545380,1902,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm35315,GSM2545380,96,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tyrp1,GSM2545380,8,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pank4,GSM2545380,1991,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ngef,GSM2545380,713,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Llgl1,GSM2545380,3269,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Usp12,GSM2545380,2968,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ppp2r2d,GSM2545380,3035,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zfp677,GSM2545380,142,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Heyl,GSM2545380,134,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sin3b,GSM2545380,2563,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sidt1,GSM2545380,2320,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Spin2c,GSM2545380,175,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Wasf2,GSM2545380,1341,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tmem14a,GSM2545380,703,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cntnap5a,GSM2545380,584,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ccm2l,GSM2545380,172,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sema3e,GSM2545380,621,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Il18bp,GSM2545380,334,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slc35f1,GSM2545380,1318,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Best1,GSM2545380,50,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pde8b,GSM2545380,892,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Htr7,GSM2545380,98,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cfap57,GSM2545380,18,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sgsm1,GSM2545380,4916,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Scn3b,GSM2545380,311,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mark3,GSM2545380,3863,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Acsl5,GSM2545380,708,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Qpct,GSM2545380,156,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Iqcc,GSM2545380,740,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Noc2l,GSM2545380,2658,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slc25a27,GSM2545380,4465,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Kdm4b,GSM2545380,3619,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pde1b,GSM2545380,1827,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gja5,GSM2545380,18,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Irs4,GSM2545380,14,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mamdc4,GSM2545380,98,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mthfd2l,GSM2545380,371,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lrrtm1,GSM2545380,297,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tacr1,GSM2545380,75,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lmo3,GSM2545380,321,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Psg16,GSM2545380,1055,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Abcc8,GSM2545380,2346,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Epc1,GSM2545380,3293,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slc6a7,GSM2545380,578,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Col4a5,GSM2545380,336,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm8013,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Clpx,GSM2545380,2426,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dffb,GSM2545380,532,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Senp3,GSM2545380,2652,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Hhex,GSM2545380,47,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Per2,GSM2545380,2458,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rnpep,GSM2545380,1478,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ttll1,GSM2545380,773,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ppp1r1c,GSM2545380,14,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Moxd1,GSM2545380,137,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Susd6,GSM2545380,5755,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ighm,GSM2545380,211,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fam131a,GSM2545380,3879,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zfp92,GSM2545380,46,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Kirrel,GSM2545380,580,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Npsr1,GSM2545380,14,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Kcnj16,GSM2545380,1645,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Atg10,GSM2545380,380,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Vwc2l,GSM2545380,69,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sox14,GSM2545380,43,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zc3h3,GSM2545380,530,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gak,GSM2545380,5275,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tox2,GSM2545380,302,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tenm2,GSM2545380,904,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Begain,GSM2545380,1251,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dsc3,GSM2545380,6,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fbll1,GSM2545380,406,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dnah7a,GSM2545380,17,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm3764,GSM2545380,5002,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Strip1,GSM2545380,3437,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Nmnat3,GSM2545380,63,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lims2,GSM2545380,311,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fam43b,GSM2545380,233,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ccnl2,GSM2545380,7913,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm11627,GSM2545380,12,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rabl2,GSM2545380,889,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Kcnj3,GSM2545380,5814,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zfp36,GSM2545380,295,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slc2a1,GSM2545380,6807,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cnksr3,GSM2545380,3229,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
AW551984,GSM2545380,294,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Hykk,GSM2545380,224,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rnasel,GSM2545380,107,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Shc1,GSM2545380,514,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ppp1r12c,GSM2545380,4252,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Syne4,GSM2545380,366,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Arrdc2,GSM2545380,1446,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Usp28,GSM2545380,2085,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slfn4,GSM2545380,7,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pomt2,GSM2545380,1397,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm10432,GSM2545380,171,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cngb1,GSM2545380,26,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dot1l,GSM2545380,6480,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gmnn,GSM2545380,158,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ccdc160,GSM2545380,70,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ptpn5,GSM2545380,961,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mal2,GSM2545380,331,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Arap3,GSM2545380,282,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mib2,GSM2545380,2730,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Itgb1bp2,GSM2545380,40,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Stk32b,GSM2545380,38,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dgkb,GSM2545380,1123,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pcgf6,GSM2545380,1064,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Serinc2,GSM2545380,730,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Arhgef37,GSM2545380,883,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ltf,GSM2545380,42,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Timp2,GSM2545380,4756,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Snora41,GSM2545380,24,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
F3,GSM2545380,3365,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tgfbi,GSM2545380,263,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rab44,GSM2545380,10,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lclat1,GSM2545380,1030,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Arid5b,GSM2545380,1911,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Col25a1,GSM2545380,322,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Inpp5b,GSM2545380,2822,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dhfr,GSM2545380,405,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Phkg2,GSM2545380,2203,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Bcl11a,GSM2545380,598,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Nr2f1,GSM2545380,1819,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Trhr,GSM2545380,36,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Msc,GSM2545380,14,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mndal,GSM2545380,131,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pou3f2,GSM2545380,773,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm9962,GSM2545380,21,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Atg16l2,GSM2545380,829,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm16425,GSM2545380,10,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ap1m1,GSM2545380,2216,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Trpv3,GSM2545380,31,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Inpp5k,GSM2545380,3409,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
D11Wsu47e,GSM2545380,219,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fkbp1b,GSM2545380,341,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Syvn1,GSM2545380,2178,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Aldh3a2,GSM2545380,3048,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Dtd2,GSM2545380,358,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pcdh19,GSM2545380,337,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm5526,GSM2545380,18,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Nsun5,GSM2545380,631,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Hrh2,GSM2545380,312,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lmbr1l,GSM2545380,667,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pkn1,GSM2545380,1360,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Nptx2,GSM2545380,128,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ctxn1,GSM2545380,215,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ppp1r21,GSM2545380,3553,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rp1,GSM2545380,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm7357,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mrpl15,GSM2545380,1344,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lypla1,GSM2545380,2499,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tcea1,GSM2545380,4118,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm6104,GSM2545380,1,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Atp6v1h,GSM2545380,5624,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Oprk1,GSM2545380,48,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Npbwr1,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rb1cc1,GSM2545380,6620,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm2147,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm26901,GSM2545380,4,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sntg1,GSM2545380,458,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm6187,GSM2545380,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rrs1,GSM2545380,847,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mcmdc2,GSM2545380,28,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Snhg6,GSM2545380,345,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Snord87,GSM2545380,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tcf24,GSM2545380,11,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ppp1r42,GSM2545380,15,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Arfgef1,GSM2545380,5923,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cpa6,GSM2545380,3,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ncoa2,GSM2545380,5420,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tram1,GSM2545380,1907,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm5523,GSM2545380,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Eya1,GSM2545380,373,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Smt3h2-ps4,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Trpa1,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm10566,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Terf1,GSM2545380,662,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rdh10,GSM2545380,1006,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Stau2,GSM2545380,4170,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ly96,GSM2545380,33,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Jph1,GSM2545380,1545,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gdap1,GSM2545380,6072,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rbm6-ps1,GSM2545380,8,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pi15,GSM2545380,24,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm28154,GSM2545380,14,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm16070,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm15825,GSM2545380,4,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tfap2d,GSM2545380,358,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tfap2b,GSM2545380,2443,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pkhd1,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mir133b,GSM2545380,6,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Il17f,GSM2545380,2,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Paqr8,GSM2545380,21039,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tram2,GSM2545380,21,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm7658,GSM2545380,16,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm7761,GSM2545380,9,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mir30c-2,GSM2545380,13,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ogfrl1,GSM2545380,11514,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Smap1,GSM2545380,3881,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fam135a,GSM2545380,3525,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Col19a1,GSM2545380,1290,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lmbrd1,GSM2545380,10986,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm20172,GSM2545380,6,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm29214,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm7846,GSM2545380,8,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm5525,GSM2545380,18,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Phf3,GSM2545380,4696,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Khdrbs2,GSM2545380,300,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm5415,GSM2545380,1,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zfp451,GSM2545380,1422,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm15455,GSM2545380,3,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Bend6,GSM2545380,11061,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Ptpn18,GSM2545380,66,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cfc1,GSM2545380,7,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Amer3,GSM2545380,2508,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fam168b,GSM2545380,14043,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm33222,GSM2545380,9,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Kansl3,GSM2545380,4156,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Fer1l5,GSM2545380,3,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cnnm4,GSM2545380,1363,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Sema4c,GSM2545380,1209,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cox5b,GSM2545380,7110,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Zap70,GSM2545380,49,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tmem131,GSM2545380,3482,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cnga3,GSM2545380,4,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Unc50,GSM2545380,1843,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lipt1,GSM2545380,102,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mrpl30,GSM2545380,1361,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Lyg2,GSM2545380,6,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Txndc9,GSM2545380,2187,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Eif5b,GSM2545380,6216,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm16150,GSM2545380,19,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm16152,GSM2545380,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pdcl3,GSM2545380,1373,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rpl31,GSM2545380,3937,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tbc1d8,GSM2545380,1956,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Cnot11,GSM2545380,1719,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Snord89,GSM2545380,15,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rnf149,GSM2545380,1177,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Rfx8,GSM2545380,4,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm16894,GSM2545380,33,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Il1rl2,GSM2545380,16,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Il1rl1,GSM2545380,5,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Il18r1,GSM2545380,3,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Slc9a4,GSM2545380,12,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mfsd9,GSM2545380,178,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Tmem182,GSM2545380,13,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Gm28175,GSM2545380,22,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pantr1,GSM2545380,304,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pou3f3,GSM2545380,1695,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Pantr2,GSM2545380,42,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
Mrps9,GSM2545380,1476,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,19
